
A&E,,http://38.199.6.1:17001/play/a031/index.m3u8
AMC,,http://38.199.6.1:17001/play/a054/index.m3u8
ATRES SERIES,,http://38.199.6.1:17001/play/a048/index.m3u8
ATV I,,http://38.199.6.1:17001/play/a0ck/index.m3u8
ATV+ I,,http://38.199.6.1:17001/play/a0cl/index.m3u8
AXN ,,http://38.199.6.1:17001/play/a034/index.m3u8
AZ Corazones ,,http://38.199.6.1:17001/play/a0uk/index.m3u8
Adult Swim ,,http://38.199.6.1:17001/play/a04c/index.m3u8
America TV ,,http://38.199.6.1:17001/play/a0aw/index.m3u8
America TV ,,http://38.199.6.1:17001/play/a0uz/index.m3u8
Animal Planet ,,http://38.199.6.1:17001/play/a05g/index.m3u8
Antena 3,,http://38.199.6.1:17001/play/a0zt/index.m3u8
BABY TV ENCODER ,,http://38.199.6.1:17001/play/a0uq/index.m3u8
Bethel TV,,http://38.199.6.1:17001/play/a0cj/index.m3u8
CNN Español ENCODER ,,http://38.199.6.1:17001/play/a0un/index.m3u8
Canal 13 ,,http://38.199.6.1:17001/play/a061/index.m3u8
Canal N ENCODER ,,http://38.199.6.1:17001/play/a0da/index.m3u8
Caracol ,,http://38.199.6.1:17001/play/a06c/index.m3u8
Cartoon Network ,,http://38.199.6.1:17001/play/a059/index.m3u8
Cartoonito,,http://38.199.6.1:17001/play/a0gr/index.m3u8
Cine Latino ENCODER ,,http://38.199.6.1:17001/play/a0dn/index.m3u8
Cinecanal ,,http://38.199.6.1:17001/play/a053/index.m3u8
Cinemax ,,http://38.199.6.1:17001/play/a049/index.m3u8
Comedy Central ,,http://38.199.6.1:17001/play/a04a/index.m3u8
DHE ,,http://38.199.6.1:17001/play/a06e/index.m3u8
DW Espanol ,,http://38.199.6.1:17001/play/a0bx/index.m3u8
De Pelicula ,,http://38.199.6.1:17001/play/a0bh/index.m3u8
DirecTV Sports ENCODER ,,http://38.199.6.1:17001/play/a0d0/index.m3u8
DirecTV+,,http://38.199.6.1:17001/play/a0vx/index.m3u8
Discovery H&H ,,http://38.199.6.1:17001/play/a04j/index.m3u8
Discovery ,,http://38.199.6.1:17001/play/a06f/index.m3u8
Discovery HGTV ENCODER ,,http://38.199.6.1:17001/play/a0de/index.m3u8
Discovery Kids ,,http://38.199.6.1:17001/play/a04i/index.m3u8
Discovery Science ENCODER ,,http://38.199.6.1:17001/play/a0dd/index.m3u8
Discovery Theater ,,http://38.199.6.1:17001/play/a04k/index.m3u8
Discovery Turbo ,,http://38.199.6.1:17001/play/a0bf/index.m3u8
Discovery World ,,http://38.199.6.1:17001/play/a052/index.m3u8
Disney ,,http://38.199.6.1:17001/play/a040/index.m3u8
Disney Junior,,http://38.199.6.1:17001/play/a0up/index.m3u8
Disney Junior ENCODER ,,http://38.199.6.1:17001/play/a0s8/index.m3u8
Distrito Comedia ENCODER ,,http://38.199.6.1:17001/play/a0on/index.m3u8
E! ,,http://38.199.6.1:17001/play/a05r/index.m3u8
ESPN 2 ,,http://38.199.6.1:17001/play/a046/index.m3u8
ESPN 3 ,,http://38.199.6.1:17001/play/a043/index.m3u8
ESPN 4 ,,http://38.199.6.1:17001/play/a055/index.m3u8
